# Default file LABAO_S2
# Default AOI
580 472 120 96
# Default Lenslet X/Y positions. Beacon then Reference
  47.05   19.00   48.01   19.91
  58.86   19.03   59.28   19.86
  70.80   19.27   70.93   19.95
  82.20   19.80   82.33   20.11
  35.12   30.74   36.36   31.70
  46.91   30.86   47.30   31.48
  58.78   31.08   59.18   31.52
  70.71   31.24   70.92   31.54
  82.38   31.50   82.64   31.73
  93.76   32.02   93.83   31.88
  35.05   42.84   36.06   43.44
  46.83   42.97   47.17   43.43
  58.85   43.11   58.97   43.40
  70.75   43.30   70.81   43.48
  82.53   43.59   82.36   43.23
  94.05   43.83   93.80   43.65
  34.95   54.88   35.91   54.66
  46.79   55.08   47.00   55.32
  58.78   55.18   58.86   55.47
  70.73   55.29   70.65   55.47
  82.36   55.59   82.18   55.16
  94.11   55.71   93.63   55.07
  35.01   66.81   35.94   66.63
  46.83   67.04   46.99   67.06
  58.72   67.22   58.72   66.61
  70.59   67.36   70.18   66.63
  82.27   67.67   81.96   67.04
  93.91   67.41   93.14   66.74
  46.90   79.12   47.07   78.03
  58.62   79.40   58.67   78.28
  70.28   79.53   69.61   78.32
  82.16   79.38   81.22   78.20
# Default actuator positions for a flat wavefront.
# YSO      GRAY     SPARE.
0.71061 0.71061 0.65669
0.75524 0.75524 0.70928
0.68225 0.68225 0.65894
0.66176 0.66176 0.65010
0.66533 0.66533 0.72083
0.67611 0.67611 0.66847
0.66607 0.66607 0.61512
0.66365 0.66365 0.66718
0.59910 0.59910 0.63137
0.57463 0.57463 0.63852
0.67262 0.67262 0.70982
0.66677 0.66677 0.67101
0.42951 0.42951 0.57416
0.56792 0.56792 0.75861
0.53134 0.53134 0.64163
0.62761 0.62761 0.66580
0.59939 0.59939 0.64654
0.57947 0.57947 0.69447
0.55810 0.55810 0.66891
0.81755 0.81755 0.75537
0.87047 0.87047 0.77399
0.69772 0.69772 0.67218
0.67257 0.67257 0.67899
0.57286 0.57286 0.56916
0.68169 0.68169 0.68426
0.63806 0.63806 0.60941
0.65403 0.65403 0.67620
0.68149 0.68149 0.74381
0.70095 0.70095 0.67776
0.71689 0.71689 0.67850
0.77078 0.77078 0.72072
0.75397 0.75397 0.73621
0.68803 0.68803 0.69770
0.58556 0.58556 0.63720
0.58754 0.58754 0.65942
0.64658 0.64658 0.74381
0.80040 0.80040 0.82245
# Default center position for pupil
-0.119967 0.095469
# Coude Alignment numbers
271.151947 304.529421 313.175293 4.117418
